train_input_1,train_input_2,train_output_1
,,true
,h,true
i,,false
a,a,true
b,c,false
n,nn,true
abcde,c,false
c,abcde,true
r,mnbvccxz,false
abc,aabc,true
aabc,abcde,false
abcde,edcba,true
mo,moo,true
moo,mo,false
tree,though,false
rip,zipper,true
flipper,rip,false
hi,zipper,false
dealer,dollars,false
loud,louder,true
ccccccccc,ccccc,false
clinteastwood,oldwestaction,true
clinteastwood,ldwestaction,false
verificationcomplete,verificationcomplete,true
hahahahahahahahahaha,hhhhhhhhhhaaaaaaaaaa,true
hahahahahahahahahaha,aahhhh,false
,qwqeqrqtqyquqiqoqpqs,true
wxyz,qazwsxedcrfvtgbyhnuj,true
dddeeefffgggg,gggffggfefeededdd,true
gggffggfefeededdd,dddeeefffgggg,false
st,s,false
xslldtzvrraseboon,zsbetovxvn,false
ssvdbvsegvgcncjxilaj,jveg,false
trp,pkkt,false
hpcyyvzibgsfgbpg,zyggbvpg,false
mtfzqzfrn,tzrcfnfzmqlfm,true
flxa,faxl,true
satcmdfxbngla,pldndcqxnzqavbmfusa,false
xujlrel,felbjulx,false
sdgxudxocegzfqkpxzto,cuzggtqzzkdoj,false
zjtramvcrthxksllyc,txv,false
x,njjcohkjvvqpxk,true
jhejzdvctsdzbijtu,ijzzudkstetjhdj,false
qwktonanevoxmkmggugd,oa,false
rpamsmkhcvobe,qovmpmhrmbccesczuak,true
elmzrsriwfm,zfwiyvfkwrvzryemmblm,false
xymecwk,hjwtiaxytemck,true
min,mgcxniuhfju,true
scyqvjwipxcampx,mjkprybapcvpqmywahvx,false
tsmmquqjeyma,muwdqejkpeysamjtq,false
rhtl,rljthtvjxl,true
erpcpqnegu,uepjcqnejrzb,false
sbzh,zbkhs,true
fjpvwb,fypvgbuypuxwumyyjy,true
ndji,ndijwj,true
zeorfaqtod,ofazr,false
bhkk,khbhek,true
kgsv,cxhygrsrxcvgbyix,false
yunddgp,eddpgqlyun,true
tz,tf,false
e,iti,false
w,bxvueeyeumwc,true
bvol,bkloteylobmvg,true
uxrjsilvblmaww,iwsuxblxjmvalnuwr,true
dyrhyeo,eohdhoyi,false
wisvbkim,jsbkwjmiiv,true
unsacjxmgiju,iasgxn,false
utbs,dxoqsipbt,false
hlbunrixhbpxnnoknpl,lunwlnkpbrxonnb,false
t,zmvcwtf,true
pkhwc,khwsfpc,true
ywbquz,uukzdeggqwzwjqq,false
da,xaxlqcpjppvdoxzw,true
rqtt,trq,false
ccrbpyhi,cbhirpiy,false
bhvtypjjehuia,jtavebjiyhugp,false
d,qud,true
zlqkccoxxizpjcim,xzjqmoeiccxlcp,false
bopdpueh,ubpopgzuheki,false
ie,mpkroysdeyiigfwv,true
mtynvhehwwjku,wyhskchmelnvwguh,false
nan,nann,true
zdqmsxp,xsqdz,false
g,bswtrnybiwcogmtg,true
rc,cr,true
h,gdeorgh,true
tlkclmdswp,twhnclqslmbgkpmd,true
blsbjn,jbsbln,true
d,rdmfxpk,true
r,r,true
xoouggvpsqspoa,ounoaqpgpsovxblgdv,false
oighwniaktrtkk,thak,false
ldegvybham,gbamy,false
xxlphkjzoavtm,zkzxtxtpjhmav,false
yb,by,true
aqrkfdt,t,false
mdekkzfsi,imzekft,false
f,t,false
w,wz,true
odkwm,wdopm,false
y,dmiuyewsxjiaeh,true
qbsebamx,bszaeqnsvxbevm,true
aypmer,rakmepcvxy,true
rkl,aklpart,true
c,c,true
uxiphw,uw,false
hbpdeee,ohwveedovesawbpxaqn,true
xliymo,cuizfoxywr,false
q,mqm,true
vxoygizuqmng,igqvxyuozpmn,false
lvleiftixkxilhntu,iitihkxvxeulnllht,false
ewa,euw,false
gr,gr,true
y,iqkwx,false
nwbiisbnczd,ldwnczvnbibisr,true
jpfifmubopvacqyyvuop,ioyvqpcamufovpbpuyfj,true
qjww,pwbowq,false
xy,pterqzx,false
zaqtqy,zqkckpqcyaqtz,true
mf,imf,true
t,bteblcxxno,true
xjjtgbgmhfkczl,zhxgjlngcktjgjmffzbw,true
bdjcnzupqzi,zzngfpqjjujtndsic,false
b,bszqndbhyet,true
lgnzenuwsynmtzubh,ehntugmpnznzlwvsuy,false
xywdbpufelma,alanxpeyudbmfw,true
ayreuhp,prwworwofovymymebahu,true
aewa,eaawv,true
ujhai,ujafbhmhi,true
yh,gyhneqzkdtzvkchf,true
v,vngo,true
dtgva,fqgvtsxyk,false
c,c,true
tqueuyg,edgsyuytikqpu,true
rqavyplpmrutp,uymrvrosbpqlplp,false
kxgsedg,gsgkedx,true
i,i,true
rnqmsdfxeea,nfqsneaeduwrmxg,true
ntiunx,tnuinx,true
nago,g,false
sf,ysfr,true
czilck,cckz,false
nlnw,l,false
w,hwvnffpp,true
hexgqmojivxyaeat,ocfixfgxheateyvqjma,true
nnehyuq,qnhuyrkgctbxem,false
ozkfosq,qfkoskoz,true
pf,ufptta,true
fishxjwhbk,khwxshbj,false
ebuugwlza,zcwaugeul,false
c,ecsjybpgh,true
ees,shbjkcoxgbmuuteqteo,true
viejzannk,enzjknv,false
z,dtzcgyp,true
lrjirehstlsi,ljsorlistieht,false
pzbdfy,bdpf,false
nipojeqxxzzbl,aoxnsxejpzqilpzi,false
xhoinhzn,nnoh,false
wxnkgu,xgunkds,false
mwrqchltmcwjd,crh,false
dhuj,zhfdupormvj,true
xvkmdulwdmiy,lxvprdivmpjlmwudm,false
siqyazrtgf,ziftga,false
opyehcfnkomjvyxt,oenyvyxjmteckjphhf,false
pdxrvrhy,evkdqhxrzryr,false
u,evvuoiksoreqfeeoagoa,true
hv,klxvbxsnzh,true
ikxrm,rxmix,false
gpwayqboyo,qbgowrayy,false
x,exbz,true
ak,kaw,true
emkl,lemkegkzmr,true
y,vnhyy,true
nk,nkb,true
znjtzvnopnzckd,o,false
i,acwkrziil,true
ub,seibkzhouib,true
uubcsycswqhqlm,qmhyciulcwacusxvb,false
ogkqcqxcjsrqptgoqsah,csagn,false
futhfiajkecs,itdhfcbfsukfakjkie,true
dechkg,mkujggtewdgchs,true
ncpgtmmfb,tmmnbgftpcfebn,true
btvax,tvvkmlx,false
uw,uw,true
bfdmhlrza,zdbyl,false
a,a,true
vzgw,z,false
bm,mnlbwr,true
eokvanhgtb,gio,false
hxug,xgsguhk,true
rrnvx,rrkxjbcwnilv,true
mumserfmugiwxynszmal,lmksxiyfawenwmmr,false
jgwd,twpgdju,true
kt,ztky,true
jc,yqcjj,true
vwys,tbrsspwzwbynlv,true
ccv,gcvtqmuoc,true
b,cifb,true
c,c,true
fn,foi,false
test_input_1,test_input_2,test_output_1
xfuubroohimyhg,yhoogyrhuxfupzbjm,false
s,xsp,true
r,frrr,true
aen,nekjfyvhjanhuymcwbd,true
gkfw,bqqcvwknga,false
uvoqmdpmfxpvxtcgwqh,pgwdghqpmfxxqvu,false
c,kqcqsjsj,true
aly,gyqliomi,false
yhkfpiqvlquvpkfsw,blkivqhbpspuqffges,false
ymdgm,dmmdvksyszng,true
rrn,nzlwsrrtpygjzottq,true
tqlec,heltqcw,true
mjmvhwtjtdjtdt,jjvdtemrdmwtttdjth,true
xytfzgt,fytzfgtx,true
kvcbogbu,pegbbykokuvzpfc,true
k,k,true
qxygieidxc,qiyyqdiegxx,false
fb,wcbjeuxfw,true
crk,krcs,true
s,hewgivsm,true
ww,fswrtmceiujxuazo,false
lqicya,lqaick,false
xpj,jfpvkp,false
njwkpkbhd,kkaapndvkwhnbjwy,true
nifp,tbihityuxxqunfwn,false
gzencurtwyqyafpywj,h,false
aqgzeeidi,agdjaiqeiz,false
zgizu,gzzxbiu,true
miuomw,ugwmgmpemiod,true
kf,fmkfzlf,true
o,fhwozupopdtebcacxk,true
z,xz,true
xqeiuip,gipeiplixpfqospuzmpv,true
lwxaicvjqehzjmds,lqe,false
psu,usjpzuz,true
dr,jirdg,true
zarpvb,vprbtz,false
biqcb,qwlqcvyjjbpccufirb,true
phnuopuwjxjbkitwxx,xxjndxbwonktuhuwrp,false
peyk,kdpe,false
jqzmsvqzugtqrc,zhzutqsdzqkazqsvkjmr,false
szhdldqg,dwgfhqzdlshb,true
nc,nc,true
h,h,true
civirsnuit,veinmltrcfush,false
ypqc,pnpsyjwcqay,true
bsfmpvgxzidb,pzwpfbdbxfsidxgm,false
jbwbdsanqc,jjbqwsybaddacosn,true
swlf,ezfslzvgtmynjw,true
gto,ogte,true
fueumlwyulr,uefyuufllmr,false
cn,nc,true
jsupoyfzstu,spufjuos,false
aqrhbrtd,lrhzachtrqbpu,false
vvc,nxracvyvqjvvgkol,true
igrrhmzqmtomh,rihmrmotgqzhm,true
m,vnfflikhnxqmx,true
iorgx,orngozqbnoigy,false
dsndtz,tddn,false
pdztrqse,pd,false
faghzvzv,ghzf,false
pij,ietjqzwbnxxoxypqi,true
nynxjj,ynxnij,false
ayuydtgkolohwmqlyky,fmkqt,false
wopdrkzoigokilvv,kkrbdlgoowihpvvoz,false
yknkuniozj,znybnkjkxu,false
ptrp,blsrapfeaiiwtkan,false
gxbnvhif,norgviflchbqivxn,true
onzxnwk,onwznxnk,true
julknyskcgkqkpkxh,chggkjqnkx,false
d,evkc,false
h,lkhqd,true
htgfbw,gfiomuhkrontvwedb,true
hv,yhvuzymlom,true
fdy,bwloardcwyljftm,true
nxvxzfpwdtlnolcsl,dsxonllcxzoexvwppltf,false
poptlrobyoteuepman,eopzopyettubnrpraoml,true
bpzpsf,msdfpbpfuzz,true
gafq,qgfas,true
jllerijjj,ijclljjeqjwjo,false
m,lmu,true
mbt,misktbu,true
bam,dbjpomarfwso,true
ibxosqnnpmuy,nsnsuozsgpxeybqim,true
m,mk,true
pz,qrkpzevv,true
ieucjwqffirteo,eciotfrewq,false
hnukhucspzxklt,sulhuothxkunkcpz,true
iizjor,ibjzonp,false
qkvkar,owfqkrviakmcwnktd,true
qcieuxmrnf,xduqroifcjem,false
ffkulzi,falnhivwdfzciu,false
dp,cpg,false
bqa,artkqbdhptqgoqmqbev,true
oenavgakngol,agngvakolone,true
xvpjszhmayqwpqbukrcu,mzphqpbqduu,false
bvjeps,epjvbxws,true
f,nyuyopvfk,true
gsgjex,tcoxmegdjuetshef,false
uxqhqizcvdulufosbtdn,f,false
srmfmtgqdpgxanlzhv,r,false
rxil,xirel,true
cpigitx,pcxtign,false
zgevsumc,zxecvmugs,true
pykesltbw,plyswystbe,false
eqfuszrqob,psqzuzfbfqovr,false
mzkylno,zsynoiklm,true
x,bxeoiq,true
blgbwdzlzgqulft,lugbfmszdbqkzdwlulg,false
r,r,true
x,xc,true
axifpbjvocywj,vcbowjfiaxpjfyqm,true
mylpazxbq,ayzmnblx,false
kydoecirai,ircaeckedaiy,false
nrh,rlnxhr,true
uvzgwnz,vznuwyagz,true
qpitcxoprcon,oxtqoi,false
mlvg,jlvg,false
dkycya,dyac,false
nzfepclypovuwffxqy,y,false
hwyeduvpkpu,ewppckyhduuav,true
xxrablh,xkyxzyalrhcb,true
ya,ya,true
jwmbit,igmfjlatgblw,true
kstzvwqekyvznjuaipwm,mtzuajyskvwk,false
ydpylm,pvyywtmhlgjmxdtopvmm,true
m,mstng,true
di,kdymigc,true
wrqk,rw,false
zpsevb,v,false
whnjooitiuhmziojf,opxzhtiiwuohou,false
q,iizvxmvlaqqdgduxt,true
zrrtkao,rkkzorwcra,false
mjmsosra,mrfjsmoa,false
uvqf,wuxfv,false
qug,gtmmukflqr,true
xqpablwfkctsx,pqctfskxwlb,false
c,bqpaxec,true
oqljypbjzr,nopyjxrzycql,false
d,nbnfseunrvbdh,true
e,ydbaywo,false
ri,rcoizb,true
riatvfjmjyc,rlatjrmzajceyvei,false
virxbzkp,zpivrfvbk,false
fwmsuqfqwgjtzrgs,gjwrfszmzfgqwust,false
akxrcpfgvww,riwdkoadvgxvprwcf,true
kdjbshcldvlnzhmzlx,dbhnasljfzkxvgldcmgh,false
bl,dqrxjtvucdbzvieah,false
m,mhg,true
wtzrilk,izleozwxdlkct,false
fpznlaenxuw,pwfxznelucbn,false
stlufzvlrpi,zdqtnscveplsfrlcuni,true
zmlgaraubwxihjsxw,sumrchjwhbznwlaxligg,false
hmhq,mvhfebsh,false
oazpkpalvn,lkpzaoa,false
glq,kztcolgjxcf,false
cmauexketmmiknuw,xwankeu,false
isy,xiysk,true
l,il,true
xpof,oxgp,false
lgrsfzdlinozv,fzrozv,false
mcnrxw,trmxdnw,false
aiaungprxso,aaragoirptnxpwms,false
cjtgvi,vigtcj,true
uetgap,cniukgatxep,true
zjoawiodunbcnowaxod,jwxnovzoabpcw,false
qwfefqrfputbynhydn,wpyctkbuqredyqhffnq,false
qm,bqm,true
i,ru,false
jegaxubgpcmwhzol,xbog,false
jfddp,wjldtidgyp,false
fkqbltii,itqrlbifkb,true
i,i,true
l,l,true
yrc,jgtrcvymrf,true
b,b,true
q,isqzgsawfk,true
wzzzgebbfwzyzfkm,zyzwzgw,false
xp,p,false
oes,ogslsuckhej,true
rk,awbrrt,false
vtuilijzchbbyvpxgite,ctjibbezlxtyvi,false
d,bwqfuddtdibacmygqbsv,true
ntponvk,nnptovk,true
rm,trqicm,true
gfyyzvgvgkckpejfq,vfy,false
mxphlt,htmxzpuln,true
fydphekwqgomoh,hkmgdoyfhpfqeo,false
bwnmtyib,yribnmemitonbtw,true
kvutddymnobtxywryq,mdktq,false
yalzzustjhyaoajndsx,ajnxzsazl,false
bawfwcuhrwtrb,hrfwwatbbu,false
pvqd,pumqdcveov,true
i,gahxj,false
yvlslufyfgj,sffvlluj,false
rfoinukfgftatsndhqpb,trqgbdnnmfu,false
rsdyiokqrtzj,kjheotryzdvbyriqks,true
v,gwvbhpammktjhqvhl,true
x,sylubx,true
f,f,true
rexofj,frexoj,true
nyhnul,lliynnlgqhquydu,true
qa,aq,true
tgsxf,sxfsyfliklwtiuic,false
lb,lsb,true
fjjtql,qljjtyfb,true
dlvjzdof,ojziddvclf,true
zdmvv,mdgvsamvz,true
jggbqqkqe,fqqeqngkggqbke,false
rfoyjfcwpcqsy,wcjcshq,false
xmh,pmxvoha,true
qlomxbefrk,k,false
l,tl,true
naqwviwlj,lfjtwyncqolnruyw,false
zypt,tz,false
mj,omj,true
ia,ai,true
defc,fgniddwex,false
tnngrbsdbujdb,dugnctsbjerbdd,false
ygujuw,yzjychitbmolkjgwpuu,true
befoxhwllxstnhvvf,felx,false
xdhsej,dexthslejd,true
wdqvaad,qsawvdta,false
ir,i,false
bx,bx,true
od,fd,false
r,r,true
te,et,true
ebhbdv,fcevkhedkbxgb,true
ukucjrmdiycbenuxj,jycmixukd,false
yy,ryyxnb,true
ljttgh,thtjllg,true
lrlzmkqplf,unlelwzfrklqop,false
cmzddrutmanuiqizprds,d,false
ztfszbjgdbddmb,fgubmgdsdbtdbjzzl,true
btkyhnhykehhcgxafcj,k,false
xrkwqqhvmdljra,qrardwhxjqvkml,true
mat,aitsrmnvqz,true
ihgpvscsg,gsuygmshvgc,false
z,zcub,true
yhynzbkvtryhkf,hhyy,false
x,xn,true
bmygcpgfmeyheiafwbm,gembgmeyfiauhbmfcpy,false
g,yjgfn,true
m,ip,false
rhewhytxmx,wmevrxyhx,false
mwgc,cmmwc,false
tefgclfcg,lbvgfeteacg,false
frgi,yfarizvrruoofznulsqg,true
hp,fophfc,true
sr,fsdgngxyriq,true
br,br,true
paxygfcdpybsbawsnl,bpclyfbsdnusypwaxg,false
ckxabtwmtgcwoafr,itabcawkp,false
m,md,true
sxcvpgwqzhx,pxwsxz,false
toqtzjnmy,tyzqn,false
lkekbkfdrxug,x,false
u,u,true
wjeglebxgwgwzgif,eggw,false
d,d,true
p,whp,true
fncdpphu,fh,false
esjhql,jbels,false
iswptgbcotb,sgctbtzwppkbo,false
zwehjqjd,ljwdjqhz,false
fnwbctbpdwm,n,false
acfogrvty,ojtravatffncvcyc,false
htou,uotklhzu,true
jxbhv,hxxj,false
eukdsxmrfln,fudfrsadzekjkpmcwble,false
kc,fukcs,true
rubftnqmlb,ubpfnnqmbrtl,true
kk,kk,true
z,nkerw,false
xxshx,xpajexsuht,false
guuevgcakf,gnuskavyaujuemkjct,false
fhsq,fsjhnqm,true
tqbuko,bqutok,true
bxvsu,suvxkbq,true
ihkhxnohnmo,itnomnsstbmxhklhotnh,true
sqzmw,obmsezbyxwo,false
l,gl,true
l,luosuej,true
rfi,firb,true
z,z,true
dh,hd,true
fyqzzb,gbcqnepyyjlzfziq,true
enwshsqvxb,qxbw,false
fry,yfj,false
cmnfxlyzrdn,nxn,false
outprhyscsfzzkcwwjbw,screjc,false
vu,vqpwku,true
pczr,eonxzbpqr,false
zewfj,hqjzerfwc,true
nyafyhtuqhks,kaqyyhnh,false
ap,ampl,true
gcrhleblgbignkrsxggb,brgegokxkbclnigrh,false
fkemu,ihabqekmesfexu,true
omh,hmho,true
gcsgtixsevmm,idyxgrstmvgcseyev,false
k,ko,true
r,hjukrxovgmv,true
bemzzj,blm,false
c,dmchtf,true
vox,xrov,true
uinhjukqdmmzd,qsjhuisumxkmdjzcd,false
ksx,x,false
wynui,winuy,true
khojdktylmttdbdirwa,oqt,false
ei,xcie,true
svla,wvsad,false
yc,cy,true
p,p,true
neb,enwdb,true
k,gqkzlvhhxiwftll,true
vp,t,false
khajzmu,yatxjgthkumdlaqgnzq,true
aqrls,qvassxfhqlrp,true
trsef,nrfegts,true
rtkybjkwzyo,yzjrwbnkky,false
pho,iopryfhflyan,true
nnpuchgrjxqaj,ppqnajncgruhxj,true
xjycsqepdecldb,xjobcpqdxclecy,false
hdlhqa,lhhhadq,true
tnbbxyvkz,bzvstuuyvkkxb,false
r,r,true
lunir,unlhir,true
whs,swh,true
crbus,zrbcrsu,true
buma,qbufram,true
bkxehrbmp,andkhbxpebh,false
tv,nbst,false
pxd,apfeajjefhwojdrxi,true
rux,gugrxro,true
ooh,o,false
zhmsasqui,lanizrsuqwhixqsrmcr,true
eych,yc,false
lt,tl,true
el,euei,false
omljdvwijqdi,djxjqjlivvmowis,false
vs,jvegs,true
dmm,mamd,true
ghvzrefruye,reruvfeyhgdzvr,true
nckn,ncnk,true
nmicbhj,ibjmajn,false
oufdotlsbhhj,fdubslxihdjodbhtyoz,true
hyaii,imwyhgxbhamiyi,true
pdzzgggo,gyfupzdggoejze,true
fsloasrd,eholssasrfd,true
bhxffdqekqwjej,hjbrqxffqwadjfe,false
gqfmrpbeqessmr,eesrgpmnbirfqmhq,false
qvbolefuk,bqvsksulo,false
duvzo,ihfoosvdbyutnz,true
phwwwiqcasvu,bwwuqsschiwagv,false
ljz,mlkrjudzum,true
aelww,newkallowa,true
xwqkkghvzqxfp,kp,false
uhemovkrqco,heou,false
aeywgo,ztwamoyawwe,false
vkfjfcqxcgbzq,qb,false
yp,ky,false
mid,fkienrzidfhzjhmiui,true
ggd,jmgjgmadvgoslr,true
pbgspgcap,spfrbppgaxcgaygofdv,true
j,j,true
gxlxsku,ux,false
hqrmiudjksmtxnqsemuc,nesmtuuhcqm,false
hkonyaisxhp,knhhsxyiopx,false
xnfuqsfwzap,zxfnsguqapfw,true
wgvncuse,nwpuepghusv,false
u,jnqtpuj,true
emfxu,ufzktexuxmyukxjc,true
eblsmgveiz,ibezmgysbl,false
cexaxzjjzoahhy,adzyoxxiejhzacjdkth,true
bfqdfmvognlhlpdk,lfnbglwhmddq,false
ct,tn,false
jnxt,njtx,true
sp,hrnmqps,true
sqgivjnosicgal,iovzgcwjslgqihi,false
o,qbgo,true
q,dgoqoxiovjaf,true
gylanidimuab,dnaslumgcsbaii,false
eawavrgb,boueavraga,false
bvnyjn,ynyjnb,false
oik,kldddzzjwyzioiy,true
tsoekggfbdqvrvfr,v,false
riugslrna,giasrlurn,true
offba,kbdasloehwkfxlib,false
onnigsv,rjzonqviisgwzw,false
yxi,iniyx,true
xb,snfixb,true
h,jhtrfladdcgzdyrwy,true
vt,trlmdvxnps,true
t,t,true
j,j,true
iyoneou,poi,false
vqsyhy,yvshqdhy,true
vnpe,dzpanqtiemiyiv,true
uf,qkfgoc,false
ciqruqkcjbpphc,kuzwctqjpchoiqmbkckp,false
n,bn,true
szbjjeyhyfzaxiewd,gbygevhaszejiwjfzyd,false
q,qt,true
qornekpjxqzwnokgm,gmknqjwzoqxepkrno,true
ubet,tefu,false
lu,lu,true
nwlyrcnj,nwycljrn,true
lnfgftvw,iwflgsymfptqevyxn,true
gp,wpn,false
f,epwufykymmspdzhflhsp,true
g,xgzb,true
xcrm,xrcm,true
mpww,p,false
glqjrzmyzvrpn,prmvygligqnrvz,false
tbxoxhlsxplrvmnbob,btholvxnlrbwpox,false
hysfyfgmkd,fykgmiyjsiksfih,false
lubk,ublk,true
nmhl,chdarovhaufklpwmznpp,true
oilccnadyecsepqepoh,cehlopq,false
xe,xei,true
a,paywcixroskewmt,true
ryapmv,adxhipyvrwmsrq,true
rriisqlasfvexkqhqvk,siqe,false
fajezqfv,armlbqgdvgfoezmjt,false
ah,avla,false
l,kmhtly,true
onxfg,fgnxo,true
asg,alsg,true
eolkkvei,uvokldegbe,false
oobzagn,ozecsdlgdkmbnao,true
brfun,rfbuqn,true
iqlm,mqsil,true
dnlv,vjohdimdng,false
ejofzjkwirreug,hoqerfejziwrugkwj,true
olw,jlodwzq,true
sxpoudfizxkk,t,false
ueentime,eseimnulxtetj,true
uz,zxzu,true
uub,ebubboyqzdvamozdu,true
xa,uejqaxz,true
esiievw,eoaiqdjzrsfzgetwi,false
hahqrfa,rqafhha,true
cst,ckbakppqvpthjsp,true
kikrpnvthe,unkiktyreihpv,true
ibb,bbifk,true
gwnv,mmnpfjbicgyvwy,true
rwujulx,luxwzrlccmujgejqmh,true
kucujzbcysjo,uscujcjyzbkx,false
qqeanc,qcezqmano,true
v,dv,true
e,une,true
whssjys,ywshyevgsrsj,true
oysr,yors,true
tqporxknniohzy,rnsnpopsibthxonzq,false
ebqggvzbpshhdl,gfzglsovbhhpeuq,false
mvbyjcqzjw,jawhczkzryyjzlmvuqm,false
v,v,true
l,tmitl,true
xnsd,eoynxoeimudz,false
gj,bevnfplyxjpjgudab,true
vaafsolcxgovaqkqw,lwkogqojoavcxvsnqalf,false
n,xgavkbvhlieuxjbix,false
z,z,true
omm,rtwbmdzzjxommywu,true
dknbbnu,onludklbbgn,true
thtdmpglzttpzj,gdpjzttt,false
rtec,rerntc,true
cwulutsr,rsctu,false
lnerrligzgtkugkp,kliblgggkkutznrw,false
xyvbtcecstacc,acbvaxgcytsetcr,false
zfrc,fprzectxu,true
raesiyimgnvwfyckjwkt,tyckwifgiarjsiv,false
ntxc,lxtcg,false
g,uel,false
sknajpr,kjaydrprnbrsbhsj,true
rxqbudiimudfe,duvbqrffuwqkxvmfiep,false
gqkainsx,zkinaxqpsg,true
oul,umoelfgeo,true
usndfsfaduosysiru,dudfmrysssiuno,false
plcmodnpbzvq,mxbtpdccoqgmnjjklv,false
w,wl,true
e,e,true
zjayvqxwbjqknrx,vzbarkqoljmuknxayx,false
cceaskvdzjruczfxfa,szaju,false
ugrbxcc,gzhcclufuxr,false
sstk,snktscfdyyy,true
xuc,usxc,true
ekyjoclaojw,wcdbkowlieyopjmiajj,true
xpyvdatsnchhhugvkw,hhaxc,false
syptmzekq,zypzpskqtmey,true
da,phmad,true
afk,afhka,true
r,xr,true
yibmdszhhedgclnh,zdnehs,false
t,hmxntkhdeg,true
ogfayetvjll,hvelgimalhofy,false
zj,zj,true
adoek,ktarhoqoxd,false
suddyrycoqxmtt,srbdcoq,false
ejxlzetyvokd,nskzodevtbxykvz,false
jzl,zjl,true
uod,tqtywfutdmnjsvmvna,false
s,wevtsaq,true
wjqekt,kltjewq,true
qrdecvnonylmkwkv,wnekalv,false
zfx,x,false
aozbyu,buayoz,true
agzxlhepl,pzezghlffblwno,false
cfruk,uflxbogbvksrrcx,true
q,qhu,true
chtxh,yohbchxhl,false
waghx,ixgqnahwg,true
tnffnzc,hnvakftfcpwzlsgpn,true
p,ph,true
obctcaroap,orbznajbguctocugh,false
t,tmzt,true
fynfatzshzhb,hsnynzshczbmtfmfa,true
kc,lugpjbucbdigkdcjiydv,true
ldxt,tl,false
uszrg,u,false
jmik,jmki,true
w,hfgloiyikziwgnpobeiy,true
tyawkk,atykkwu,true
xrlqo,odlizgxqr,true
xvoego,cesexqglvoxwtjvt,false
ypyzkfbil,pi,false
abrdwfhtne,eybywetrfnzquahf,false
klighsfci,kilhrclgsaf,false
ad,df,false
mozd,gpbmzodek,true
wvzqyx,bnvqxrxzqzflmyv,false
wwotnci,tgwnwpico,true
zahasqzafmr,sfzha,false
givonnab,zcissnaxvbndgdztzab,false
